design,condition,ai_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
sequential,assisted,below human,low,cat,43,0.01079946002699865,0.036148192590370484,0.05069746512674366,0.0143992800359982,0.03989800509974501,0.05189740512974351,0.11249437528123594,0.3553322333883306,0.08339583020848956,0.00599970001499925,0.1231438428078596,0.06884655767211639,0.00599970001499925,0.0119994000299985,0.0047997600119994,0.02414879256037198
sequential,assisted,below human,low,chair,127,0.03808024921714017,0.05414307270455762,0.04715006571155063,0.0398974575308682,0.0673502831275453,0.050005678775980396,0.02487303879415248,0.04974607758830496,0.2973893855564389,0.07642009962195577,0.05829669170736457,0.02461343760647705,0.02694984829555595,0.07254230688105398,0.04041665990621907,0.03212564697483491
sequential,assisted,below human,low,clock,64,0.03403954802259887,0.01016949152542373,0.0402542372881356,0.03516949152542373,0.03290960451977401,0.08799435028248588,0.042019774011299436,0.049929378531073446,0.024929378531073448,0.20324858757062145,0.09936440677966102,0.07323446327683616,0.06581920903954802,0.06638418079096045,0.07436440677966102,0.060169491525423724
sequential,assisted,below human,low,dog,423,0.03061253472241946,0.09958020665875175,0.04837564403342441,0.04938110305102846,0.05174989632979056,0.07234192423269843,0.05475491226375973,0.08719090656047808,0.06578087810087536,0.03981504098523622,0.1513301029885423,0.0718817989195576,0.03799158141093734,0.05366424485483331,0.03544101023068752,0.05010821465697942
sequential,assisted,below human,low,elephant,41,0.005614035087719299,0.014035087719298246,0.057543859649122814,0.04350877192982456,0.008421052631578947,0.06947368421052631,0.04771929824561403,0.0343859649122807,0.04140350877192983,0.030175438596491227,0.028070175438596492,0.5059649122807017,0.025964912280701753,0.028771929824561407,0.025964912280701753,0.03298245614035088
sequential,assisted,below human,low,keyboard,91,0.034834324553950725,0.02574995098359584,0.0062740997320436575,0.054048754983334425,0.03614142866479315,0.026795634272269785,0.0439186981243056,0.0073197830207176,0.04470296059081106,0.04548722305731651,0.02548853016142736,0.0247042676949219,0.3431148290961375,0.15587216521795963,0.08992876282595907,0.03561858702045618
sequential,assisted,below human,low,knife,46,0.05509007121910348,0.05732439603407345,0.04007820136852395,0.04901550062840385,0.028417818740399385,0.05124982544337383,0.06179304566401341,0.03735511800027929,0.030652143555369365,0.034003630777824326,0.02618349392542941,0.028417818740399385,0.06179304566401341,0.28997346739282226,0.08239072755201787,0.06626169529395336
sequential,assisted,below human,low,oven,53,0.002098498262181127,0.027083743196275167,0.008393993048724508,0.004196996524362254,0.008393993048724508,0.024985244934094042,0.033182503770739065,0.0260344940651846,0.04052724768837301,0.04577349334382583,0.00629549478654338,0.01868975014755066,0.02183749754082235,0.13902550986949963,0.5208210374450783,0.07266050232802151
sequential,assisted,below human,low,truck,64,0.05023885350318471,0.021417197452229298,0.030095541401273886,0.021417197452229298,0.1089171974522293,0.007643312101910828,0.05533439490445859,0.022691082802547773,0.03901273885350318,0.06656050955414013,0.005095541401273886,0.030095541401273886,0.06146496815286624,0.03264331210191083,0.09896496815286623,0.3484076433121019
sequential,assisted,below human,medium,airplane,48,0.7253989361702128,0.0026595744680851063,0.005319148936170213,0.026263297872340427,0.07347074468085106,0.0026595744680851063,0.02759308510638298,0.007978723404255319,0.03523936170212766,0.006648936170212766,0.024933510638297872,0.0013297872340425532,0.024933510638297872,0.020944148936170214,0.005319148936170213,0.009308510638297872
sequential,assisted,below human,medium,bear,76,0.039146779993461917,0.40405361229159853,0.007845701209545603,0.07763975155279502,0.014138607388035306,0.02696959790781301,0.06219352729650213,0.051977770513239624,0.030238640078457012,0.003922850604772802,0.07396207911082053,0.07567832625040863,0.038492971559333115,0.028277214776070612,0.001961425302386401,0.06350114416475973
