design,condition,ai_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
concurrent,unassisted,all,high,boat,145,0.043478260869565216,0.037267080745341616,0.006211180124223602,0.018633540372670808,0.639751552795031,0.031055900621118012,0.037267080745341616,0.012422360248447204,0.031055900621118012,0.024844720496894408,0.006211180124223602,0.018633540372670808,0.031055900621118012,0.024844720496894408,0.018633540372670808,0.018633540372670808
concurrent,unassisted,all,high,bottle,103,0.01680672268907563,0.025210084033613446,0.03361344537815126,0.025210084033613446,0.008403361344537815,0.6554621848739496,0.008403361344537815,0.008403361344537815,0.05042016806722689,0.008403361344537815,0.05042016806722689,0.01680672268907563,0.008403361344537815,0.025210084033613446,0.05042016806722689,0.008403361344537815
concurrent,unassisted,all,high,car,132,0.013513513513513514,0.02027027027027027,0.02027027027027027,0.006756756756756757,0.013513513513513514,0.02027027027027027,0.7432432432432432,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.02027027027027027,0.013513513513513514,0.013513513513513514,0.006756756756756757,0.04054054054054054
concurrent,unassisted,all,high,cat,147,0.012269938650306749,0.06134969325153374,0.03067484662576687,0.049079754601226995,0.012269938650306749,0.012269938650306749,0.018404907975460124,0.6380368098159509,0.012269938650306749,0.012269938650306749,0.0736196319018405,0.018404907975460124,0.012269938650306749,0.018404907975460124,0.006134969325153374,0.012269938650306749
concurrent,unassisted,all,high,chair,97,0.02654867256637168,0.017699115044247787,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.035398230088495575,0.04424778761061947,0.035398230088495575,0.6194690265486725,0.04424778761061947,0.035398230088495575,0.008849557522123894,0.008849557522123894,0.017699115044247787,0.04424778761061947,0.02654867256637168
concurrent,unassisted,all,high,clock,131,0.006802721088435374,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.02040816326530612,0.02040816326530612,0.013605442176870748,0.013605442176870748,0.006802721088435374,0.8231292517006803,0.013605442176870748,0.02040816326530612,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.006802721088435374
concurrent,unassisted,all,high,dog,137,0.026143790849673203,0.0784313725490196,0.0196078431372549,0.0457516339869281,0.006535947712418301,0.05228758169934641,0.026143790849673203,0.032679738562091505,0.0196078431372549,0.0392156862745098,0.46405228758169936,0.0392156862745098,0.032679738562091505,0.0392156862745098,0.032679738562091505,0.0457516339869281
concurrent,unassisted,all,high,elephant,157,0.011560693641618497,0.03468208092485549,0.023121387283236993,0.017341040462427744,0.011560693641618497,0.011560693641618497,0.023121387283236993,0.017341040462427744,0.05202312138728324,0.017341040462427744,0.023121387283236993,0.6763005780346821,0.023121387283236993,0.011560693641618497,0.017341040462427744,0.028901734104046242
concurrent,unassisted,all,high,keyboard,134,0.013333333333333334,0.02,0.02,0.02,0.02,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.02666666666666667,0.03333333333333333,0.04,0.006666666666666667,0.62,0.04666666666666667,0.07333333333333333,0.006666666666666667
concurrent,unassisted,all,high,knife,104,0.008333333333333333,0.025,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.025,0.008333333333333333,0.05,0.7333333333333333,0.025,0.008333333333333333
concurrent,unassisted,all,high,oven,96,0.008928571428571428,0.017857142857142856,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.008928571428571428,0.017857142857142856,0.026785714285714284,0.017857142857142856,0.10714285714285714,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.625,0.03571428571428571
concurrent,unassisted,all,high,truck,102,0.059322033898305086,0.01694915254237288,0.01694915254237288,0.00847457627118644,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.01694915254237288,0.00847457627118644,0.025423728813559324,0.025423728813559324,0.01694915254237288,0.00847457627118644,0.025423728813559324,0.6694915254237288
concurrent,assisted,below human,low,airplane,33,0.18894748910800274,0.04975922953451043,0.0554918596652144,0.05916074294886494,0.03301994955285485,0.04609034625085989,0.11465260261407935,0.05916074294886494,0.06649850951616601,0.0073377665673010775,0.03508369639990828,0.014675533134602155,0.05342811281816097,0.11671634946113277,0.0554918596652144,0.04448520981426279
concurrent,assisted,below human,low,bear,94,0.05151515151515152,0.2515151515151515,0.019191919191919194,0.06464646464646465,0.022222222222222223,0.07171717171717172,0.08686868686868687,0.01717171717171717,0.05959595959595959,0.04141414141414141,0.05757575757575757,0.11919191919191918,0.044444444444444446,0.014141414141414142,0.03737373737373737,0.04141414141414141
concurrent,assisted,below human,low,bicycle,25,0.0529446757882213,0.04342653182629387,0.24806662700773346,0.028554431885782272,0.009518143961927425,0.09220701963117192,0.04759071980963712,0.04342653182629387,0.04342653182629387,0.05829863176680547,0.0380725758477097,0.033908387864366445,0.062462819750148724,0.062462819750148724,0.09220701963117192,0.04342653182629387
concurrent,assisted,below human,low,bird,201,0.04915514592933948,0.08525345622119816,0.09139784946236558,0.22119815668202766,0.05913978494623656,0.08448540706605222,0.060675883256528416,0.05376344086021505,0.017665130568356377,0.05683563748079878,0.0445468509984639,0.035330261136712754,0.05606758832565284,0.06221198156682028,0.009984639016897081,0.01228878648233487
concurrent,assisted,below human,low,boat,98,0.15648316192780803,0.019257914902198026,0.031155474894131882,0.10455737043758823,0.19802379511998386,0.024803387779794312,0.10304496874369833,0.032768703367614435,0.041540633192175845,0.04869933454325469,0.019963702359346643,0.023190159306311756,0.04789272030651341,0.06392417826174632,0.01683807219197419,0.06785642266586005
concurrent,assisted,below human,low,bottle,67,0.01755593803786575,0.044406196213425134,0.029604130808950087,0.02306368330464716,0.011015490533562822,0.1655765920826162,0.01755593803786575,0.04716006884681583,0.1008605851979346,0.10189328743545611,0.025817555938037865,0.020309810671256454,0.20654044750430292,0.04165232358003443,0.10636833046471601,0.04061962134251291
concurrent,assisted,below human,low,car,34,0.0928,0.0128,0.008533333333333334,0.041333333333333326,0.06426666666666667,0.0656,0.0784,0.004266666666666667,0.08560000000000001,0.06426666666666667,0.017066666666666667,0.0256,0.0984,0.06986666666666666,0.0928,0.1784
