run,fold,noise,combiner,weights
main:densenet161_epoch10,5,all,Fr,"[0.7461618681706976, 0.24665173044696811]"
main:densenet161_epoch10,5,all,Fhp,"[0.7329822571820388, 0.4512674860863142]"
main:densenet161_epoch10,5,all,Frhp,"[0.560860623078344, 0.17812286073980077, 0.43673652431895726]"
main:densenet161_epoch10,5,all,Fh,"[0.8327222074047271, 0.5528332530474074]"
main:densenet161_epoch10,5,all,Frh,"[0.6332806590352658, 0.1966409057126038, 0.5292518148914962]"
main:googlenet_baseline,1,all,F0,[0.9126489467923233]
main:googlenet_baseline,1,all,Fr,"[0.6921521761270174, 0.17003172504974962]"
main:googlenet_baseline,1,all,Fhp,"[0.4779060001066605, 0.6954110909092153]"
main:googlenet_baseline,1,all,Frhp,"[0.3469520958169207, 0.09757733020786685, 0.6902579901022103]"
main:googlenet_baseline,1,all,Fh,"[0.5720349000015794, 0.8373660317720004]"
main:googlenet_baseline,1,all,Frh,"[0.4611090263984171, 0.09449035607109135, 0.8317487696621484]"
main:googlenet_baseline,2,all,F0,[0.9326649403518074]
main:googlenet_baseline,2,all,Fr,"[0.7009778714958538, 0.17339904945449197]"
main:googlenet_baseline,2,all,Fhp,"[0.44436140119648854, 0.6830185363556169]"
main:googlenet_baseline,2,all,Frhp,"[0.33567168129598823, 0.08214825475191428, 0.6783440654439776]"
main:googlenet_baseline,2,all,Fh,"[0.5869544857126232, 0.835241661231902]"
main:googlenet_baseline,2,all,Frh,"[0.4788429341269647, 0.08644663021937095, 0.828325803068765]"
main:googlenet_baseline,3,all,F0,[0.9431395647529344]
main:googlenet_baseline,3,all,Fr,"[0.7126984276889518, 0.17267976865470794]"
main:googlenet_baseline,3,all,Fhp,"[0.4768327433003197, 0.6899778984165029]"
main:googlenet_baseline,3,all,Frhp,"[0.31732865467351645, 0.11526082956794458, 0.6862727382521503]"
main:googlenet_baseline,3,all,Fh,"[0.6065303165590306, 0.8296967641480452]"
main:googlenet_baseline,3,all,Frh,"[0.48170918980834376, 0.10063894644154112, 0.8228462206280481]"
main:googlenet_baseline,4,all,F0,[0.9241129935432677]
main:googlenet_baseline,4,all,Fr,"[0.6845155855641069, 0.18221706669399712]"
main:googlenet_baseline,4,all,Fhp,"[0.46802391630743756, 0.6824615382628614]"
main:googlenet_baseline,4,all,Frhp,"[0.33432285239619375, 0.10759703036671564, 0.6780724455603162]"
main:googlenet_baseline,4,all,Fh,"[0.5896810133561428, 0.8356646587648158]"
main:googlenet_baseline,4,all,Frh,"[0.47476234556292285, 0.0954888523127786, 0.8281388304957403]"
main:googlenet_baseline,5,all,F0,[0.9337709649733504]
main:googlenet_baseline,5,all,Fr,"[0.7158249934441258, 0.16298572075716813]"
main:googlenet_baseline,5,all,Fhp,"[0.5077044898336229, 0.6782907422320335]"
main:googlenet_baseline,5,all,Frhp,"[0.4074041907184055, 0.07632912582746348, 0.6737930368826697]"
main:googlenet_baseline,5,all,Fh,"[0.6080564356070213, 0.8340649802547542]"
main:googlenet_baseline,5,all,Frh,"[0.5105279814419359, 0.07891955994275153, 0.8272387017979463]"
main:googlenet_epoch00,1,all,F0,[0.9183163090921322]
main:googlenet_epoch00,1,all,Fr,"[0.37887794340971076, 0.4711719268807498]"
main:googlenet_epoch00,1,all,Fhp,"[0.6112592854411238, 0.6221809359689879]"
main:googlenet_epoch00,1,all,Frhp,"[0.25892085057635805, 0.3128757098495515, 0.5721268738099896]"
main:googlenet_epoch00,1,all,Fh,"[0.7109598379233731, 0.7511199081139541]"
main:googlenet_epoch00,1,all,Frh,"[0.30911153244417, 0.35375237354736755, 0.6565207228775474]"
main:googlenet_epoch00,2,all,F0,[0.9264108893726812]
main:googlenet_epoch00,2,all,Fr,"[0.38442754893464715, 0.4676287297764369]"
main:googlenet_epoch00,2,all,Fhp,"[0.5829742521329295, 0.6061116108890068]"
main:googlenet_epoch00,2,all,Frhp,"[0.2520420470622221, 0.29578396365740134, 0.5495901742839363]"
main:googlenet_epoch00,2,all,Fh,"[0.7100545136270978, 0.7415578646617482]"
main:googlenet_epoch00,2,all,Frh,"[0.3159970015949245, 0.34212817647494, 0.6405064345195017]"
main:googlenet_epoch00,3,all,F0,[0.9144168779306556]
main:googlenet_epoch00,3,all,Fr,"[0.4096302201416464, 0.440641669924199]"
main:googlenet_epoch00,3,all,Fhp,"[0.5835936235745072, 0.6147495273699854]"
