run,fold,noise,combiner,weights
main:googlenet_epoch00,3,all,Frhp,"[0.24449488191549268, 0.29815326890317023, 0.5737483536173298]"
main:googlenet_epoch00,3,all,Fh,"[0.7087614494106189, 0.7381795929752102]"
main:googlenet_epoch00,3,all,Frh,"[0.335658817045317, 0.32586340785621926, 0.6550220547833324]"
main:googlenet_epoch00,4,all,F0,[0.9338133170971255]
main:googlenet_epoch00,4,all,Fr,"[0.4332447412751821, 0.43204317542336396]"
main:googlenet_epoch00,4,all,Fhp,"[0.613167553054941, 0.6035587253160212]"
main:googlenet_epoch00,4,all,Frhp,"[0.30376800594349995, 0.27770922980853685, 0.5594647852077292]"
main:googlenet_epoch00,4,all,Fh,"[0.7342184976677375, 0.74589204816637]"
main:googlenet_epoch00,4,all,Frh,"[0.3723059401013919, 0.3133823782735229, 0.6604059330259432]"
main:googlenet_epoch00,5,all,F0,[0.9187901103733215]
main:googlenet_epoch00,5,all,Fr,"[0.4056526443357769, 0.44720361831245925]"
main:googlenet_epoch00,5,all,Fhp,"[0.5889417649682926, 0.6017302151212804]"
main:googlenet_epoch00,5,all,Frhp,"[0.2877192638365267, 0.2771397074073667, 0.5491156600894009]"
main:googlenet_epoch00,5,all,Fh,"[0.7166476224348141, 0.7415312809888324]"
main:googlenet_epoch00,5,all,Frh,"[0.3412726714753717, 0.3280798426981554, 0.6513710172386011]"
main:googlenet_epoch01,1,all,F0,[0.9541814157621192]
main:googlenet_epoch01,1,all,Fr,"[0.5163401832269929, 0.38213588364907214]"
main:googlenet_epoch01,1,all,Fhp,"[0.6679616917575935, 0.5287540899038469]"
main:googlenet_epoch01,1,all,Frhp,"[0.3212941559595831, 0.298660720231968, 0.5084032240760556]"
main:googlenet_epoch01,1,all,Fh,"[0.7822175433064099, 0.6328570388020467]"
main:googlenet_epoch01,1,all,Frh,"[0.4119954416082968, 0.3176061178520479, 0.5905582078415096]"
main:googlenet_epoch01,2,all,F0,[0.9534793389151772]
main:googlenet_epoch01,2,all,Fr,"[0.5230422756561385, 0.3830170987948091]"
main:googlenet_epoch01,2,all,Fhp,"[0.6557501735263858, 0.5113961106563335]"
main:googlenet_epoch01,2,all,Frhp,"[0.3398144948440185, 0.2745971788795007, 0.48172715587596027]"
main:googlenet_epoch01,2,all,Fh,"[0.7666249420427778, 0.6154971061764445]"
main:googlenet_epoch01,2,all,Frh,"[0.4126754803567392, 0.3132831511157302, 0.5676740433113929]"
main:googlenet_epoch01,3,all,F0,[0.937799918043269]
main:googlenet_epoch01,3,all,Fr,"[0.5263832087216767, 0.36859937016784533]"
main:googlenet_epoch01,3,all,Fhp,"[0.6221766035729484, 0.5232833071735903]"
