forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq
"F(a, h) individual",80,0.4,0.5,168,0.4453350915713254,0.48214285714285715
"F(a, h) individual",80,0.5,0.6,149,0.5507554545887371,0.4429530201342282
"F(a, h) individual",80,0.6,0.7,150,0.6444769261921856,0.5133333333333333
"F(a, h) individual",80,0.7,0.8,173,0.7473429206605661,0.7514450867052023
"F(a, h) individual",80,0.8,0.9,265,0.855744727235607,0.8830188679245283
"F(a, h) individual",80,0.9,0.95,217,0.9272798060107251,0.9539170506912442
"F(a, h) individual",80,0.95,1.0,4333,0.9828322970228817,0.9944611123932611
"F(a, h) individual",95,0.0,0.01,76567,0.0012868752847909146,0.000770566954432066
"F(a, h) individual",95,0.01,0.02,1617,0.01418167565792284,0.00927643784786642
"F(a, h) individual",95,0.02,0.05,1403,0.032031816380497416,0.02851033499643621
"F(a, h) individual",95,0.05,0.1,695,0.07029569412902403,0.07625899280575539
"F(a, h) individual",95,0.1,0.2,609,0.14066049520623827,0.16091954022988506
"F(a, h) individual",95,0.2,0.3,338,0.24779421623857878,0.28106508875739644
"F(a, h) individual",95,0.3,0.4,244,0.350018247670589,0.3729508196721312
"F(a, h) individual",95,0.4,0.5,221,0.45129230812891186,0.4298642533936652
"F(a, h) individual",95,0.5,0.6,169,0.553793142261101,0.5266272189349113
"F(a, h) individual",95,0.6,0.7,158,0.6556226906139729,0.5759493670886076
"F(a, h) individual",95,0.7,0.8,230,0.7482055920623905,0.717391304347826
"F(a, h) individual",95,0.8,0.9,314,0.851238640045757,0.8598726114649682
"F(a, h) individual",95,0.9,0.95,276,0.9284424974257445,0.9311594202898551
"F(a, h) individual",95,0.95,1.0,4039,0.9822672421228855,0.9933151770240158
"F(a, h) individual",110,0.0,0.01,73837,0.001437221562919115,0.0006907106193371887
"F(a, h) individual",110,0.01,0.02,2477,0.01421321742921294,0.012515139281388777
"F(a, h) individual",110,0.02,0.05,2372,0.03209913588265993,0.03583473861720068
"F(a, h) individual",110,0.05,0.1,1299,0.07155125720653713,0.06697459584295612
"F(a, h) individual",110,0.1,0.2,990,0.14012238586695677,0.15858585858585858
