noise_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
95,medium,bird,75,0.0,0.014667341027173663,0.002942664030530139,0.8650972458503838,0.013196009011908594,0.0007356660076325347,0.0,0.024920686008552115,0.015403007034806198,0.0,0.024185020000919582,0.014667341027173663,0.0007356660076325347,0.0,0.023449353993287046,0.0
95,medium,boat,80,0.015017893660531698,0.01143916155419223,0.0015337423312883436,0.002556237218813906,0.8190823108384458,0.013484151329243355,0.014506646216768915,0.0244120654396728,0.02799079754601227,0.002556237218813906,0.01246165644171779,0.011950408997955011,0.0015337423312883436,0.003067484662576687,0.012972903885480572,0.025434560327198364
95,medium,bottle,76,0.0,0.012120738192055051,0.0012511729746637473,0.0012511729746637473,0.0012511729746637473,0.9097591492023772,0.0,0.0006255864873318737,0.004379105411323116,0.0006255864873318737,0.014623084141382548,0.0006255864873318737,0.013997497654050672,0.02361588989677823,0.004379105411323116,0.01149515170472318
95,medium,car,63,0.017033911548679483,0.0006250976715111736,0.0018752930145335208,0.0012501953430223472,0.04547585560243788,0.0037505860290670415,0.6844819503047351,0.0012501953430223472,0.0284419440537584,0.04610095327394906,0.029067041725269572,0.0018752930145335208,0.007501172058134083,0.01515861853414596,0.04672605094546023,0.06938584153774026
95,medium,cat,67,0.0,0.05092145585827631,0.002015028756139541,0.018764955291549472,0.0006716762520465136,0.0026867050081860544,0.0,0.8284706771336215,0.014734897779270392,0.0,0.0756895176524915,0.004030057512279082,0.0013433525040930272,0.0,0.0006716762520465136,0.0
95,medium,chair,70,0.025533934504034173,0.0007593735168486,0.0015187470336972,0.0015187470336972,0.013906027527289984,0.028571428571428574,0.0,0.013146654010441386,0.831846226862838,0.0022781205505457997,0.027812055054579968,0.0037968675842429992,0.0022781205505457997,0.027052681537731372,0.018462268628381583,0.0015187470336972
95,medium,clock,59,0.0,0.0,0.0008926080892608088,0.0008926080892608088,0.0035704323570432354,0.0026778242677824265,0.01511854951185495,0.0,0.0035704323570432354,0.8825104602510461,0.0017852161785216177,0.0017852161785216177,0.020474198047419807,0.031129707112970712,0.03559274755927475,0.0
95,medium,dog,72,0.0005577244841048522,0.14208031232571108,0.0011154489682097045,0.0277467930842164,0.012479085331846069,0.027189068600111544,0.0,0.007808142777467931,0.013594534300055772,0.0016731734523145567,0.745468488566648,0.01582543223647518,0.0016731734523145567,0.0005577244841048522,0.0011154489682097045,0.0011154489682097045
95,medium,elephant,63,0.0,0.07421608277745681,0.002521140816219339,0.005882661904511792,0.0008403802720731131,0.0016807605441462262,0.0,0.014338988392247492,0.002521140816219339,0.015179368664320604,0.060717474657282416,0.8179000997951573,0.0,0.0008403802720731131,0.002521140816219339,0.0008403802720731131
95,medium,keyboard,95,0.009386349700485826,0.01952738078392529,0.00037734069147681715,0.0011320220744304513,0.009763690391962645,0.0308004339417952,0.00037734069147681715,0.0011320220744304513,0.029291071175887928,0.030423093250318382,0.0,0.0,0.7276543559266072,0.012405075232300363,0.11796613367293995,0.009763690391962645
95,medium,knife,59,0.0018156028368794327,0.015148936170212766,0.016056737588652482,0.05878014184397163,0.0,0.0036312056737588653,0.0018156028368794327,0.0009078014184397163,0.032113475177304965,0.015148936170212766,0.0018156028368794327,0.016056737588652482,0.0169645390070922,0.7733900709219859,0.0169645390070922,0.029390070921985815
