noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq,forecast
125,0.5,0.6,16,0.537492105929589,0.5,F0: recalibrated (a)
125,0.6,0.7,20,0.6440509544148588,0.5,F0: recalibrated (a)
125,0.7,0.8,16,0.7413401488828062,0.5625,F0: recalibrated (a)
125,0.8,0.9,31,0.8451840326305993,0.8709677419354839,F0: recalibrated (a)
125,0.9,0.95,29,0.9274851537205623,0.8620689655172413,F0: recalibrated (a)
125,0.95,1.0,108,0.9804026413948357,0.9814814814814815,F0: recalibrated (a)
80,0.0,0.01,23578,0.0011875811106122182,0.000254474510136568,"F(a, h) individual"
80,0.01,0.02,290,0.014201721643807123,0.013793103448275862,"F(a, h) individual"
80,0.02,0.05,241,0.03100666931541523,0.04149377593360996,"F(a, h) individual"
80,0.05,0.1,138,0.07386651411368639,0.06521739130434782,"F(a, h) individual"
80,0.1,0.2,120,0.1517279605917567,0.175,"F(a, h) individual"
80,0.2,0.3,74,0.24701938072538293,0.28378378378378377,"F(a, h) individual"
80,0.3,0.4,36,0.34053767002892665,0.3888888888888889,"F(a, h) individual"
80,0.4,0.5,39,0.4596486896466462,0.41025641025641024,"F(a, h) individual"
80,0.5,0.6,40,0.5416585653990291,0.525,"F(a, h) individual"
80,0.6,0.7,25,0.6556047240843487,0.6,"F(a, h) individual"
80,0.7,0.8,51,0.7388589800345919,0.8431372549019608,"F(a, h) individual"
80,0.8,0.9,88,0.8525485211029291,0.8181818181818182,"F(a, h) individual"
80,0.9,0.95,81,0.9277186152205035,0.9135802469135802,"F(a, h) individual"
80,0.95,1.0,1311,0.9837027736024981,0.996186117467582,"F(a, h) individual"
95,0.0,0.01,23149,0.0012643060411447762,0.0002591904617910061,"F(a, h) individual"
95,0.01,0.02,397,0.014426443529959148,0.012594458438287154,"F(a, h) individual"
95,0.02,0.05,342,0.03276372939727479,0.011695906432748537,"F(a, h) individual"
95,0.05,0.1,170,0.07275243064152262,0.11764705882352941,"F(a, h) individual"
95,0.1,0.2,144,0.14244462712126582,0.2013888888888889,"F(a, h) individual"
95,0.2,0.3,85,0.2443861923514351,0.35294117647058826,"F(a, h) individual"
95,0.3,0.4,66,0.3498776551751546,0.2727272727272727,"F(a, h) individual"
95,0.4,0.5,53,0.4453434539528442,0.5283018867924528,"F(a, h) individual"
95,0.5,0.6,37,0.5468623503833853,0.5675675675675675,"F(a, h) individual"
95,0.6,0.7,44,0.6548537703999723,0.6590909090909091,"F(a, h) individual"
95,0.7,0.8,60,0.7513158803818758,0.6333333333333333,"F(a, h) individual"
95,0.8,0.9,75,0.859942520730559,0.7866666666666666,"F(a, h) individual"
95,0.9,0.95,101,0.9298667342850243,0.9306930693069307,"F(a, h) individual"
95,0.95,1.0,1245,0.983063081807669,0.9975903614457832,"F(a, h) individual"
110,0.0,0.01,22335,0.0014301932258869773,0.00022386389075442132,"F(a, h) individual"
110,0.01,0.02,662,0.014064764178408792,0.010574018126888218,"F(a, h) individual"
110,0.02,0.05,638,0.03149311386320643,0.04075235109717868,"F(a, h) individual"
110,0.05,0.1,356,0.07000744863172628,0.08426966292134831,"F(a, h) individual"
110,0.1,0.2,250,0.14134546911044957,0.22,"F(a, h) individual"
110,0.2,0.3,137,0.245688191475,0.2116788321167883,"F(a, h) individual"
110,0.3,0.4,105,0.3513390685001431,0.3904761904761905,"F(a, h) individual"
110,0.4,0.5,95,0.44992462914730935,0.35789473684210527,"F(a, h) individual"
110,0.5,0.6,63,0.5412329428759383,0.5079365079365079,"F(a, h) individual"
110,0.6,0.7,79,0.6460431042000727,0.620253164556962,"F(a, h) individual"
110,0.7,0.8,78,0.7516212818526994,0.6794871794871795,"F(a, h) individual"
110,0.8,0.9,112,0.8488100414377862,0.8928571428571429,"F(a, h) individual"
110,0.9,0.95,135,0.9250163848816041,0.9259259259259259,"F(a, h) individual"
110,0.95,1.0,1051,0.9822986996834838,0.994291151284491,"F(a, h) individual"
125,0.0,0.01,20155,0.0017579976403324395,0.0007442322004465393,"F(a, h) individual"
125,0.01,0.02,1309,0.01425480111043471,0.01757066462948816,"F(a, h) individual"
125,0.02,0.05,1367,0.031565542698459584,0.03950256035113387,"F(a, h) individual"
125,0.05,0.1,739,0.07038555440715928,0.08930987821380243,"F(a, h) individual"
125,0.1,0.2,547,0.1423964376005969,0.19926873857404023,"F(a, h) individual"
125,0.2,0.3,280,0.2464613828514937,0.21071428571428572,"F(a, h) individual"
125,0.3,0.4,184,0.35231592686524277,0.33695652173913043,"F(a, h) individual"
125,0.4,0.5,124,0.4459253646637823,0.4112903225806452,"F(a, h) individual"
125,0.5,0.6,119,0.5544363248377949,0.6218487394957983,"F(a, h) individual"
125,0.6,0.7,99,0.6474538301128244,0.5656565656565656,"F(a, h) individual"
125,0.7,0.8,112,0.7580125414502581,0.7142857142857143,"F(a, h) individual"
125,0.8,0.9,156,0.852425629704611,0.7371794871794872,"F(a, h) individual"
125,0.9,0.95,97,0.9266933361551944,0.865979381443299,"F(a, h) individual"
125,0.95,1.0,792,0.9796479528814747,0.9873737373737373,"F(a, h) individual"
80,0.0,0.01,3972,0.001115990036337008,0.0,"F(a, h) pooled"
80,0.01,0.02,30,0.014116571589421282,0.0,"F(a, h) pooled"
80,0.02,0.05,20,0.03191418411186569,0.1,"F(a, h) pooled"
80,0.05,0.1,11,0.07185285494446109,0.09090909090909091,"F(a, h) pooled"
80,0.1,0.2,7,0.1512251448466968,0.14285714285714285,"F(a, h) pooled"
80,0.2,0.3,4,0.24820395801274925,0.25,"F(a, h) pooled"
80,0.3,0.4,4,0.33732091223200683,0.25,"F(a, h) pooled"
80,0.4,0.5,4,0.4364576431332857,0.5,"F(a, h) pooled"
80,0.5,0.6,4,0.5560413639459885,0.75,"F(a, h) pooled"
80,0.6,0.7,3,0.6306785643880822,0.6666666666666666,"F(a, h) pooled"
80,0.7,0.8,2,0.7178084012414738,0.5,"F(a, h) pooled"
80,0.8,0.9,9,0.8636758003132727,0.7777777777777778,"F(a, h) pooled"
80,0.9,0.95,10,0.9252573808414327,0.9,"F(a, h) pooled"
80,0.95,1.0,240,0.9832964387969017,1.0,"F(a, h) pooled"
95,0.0,0.01,3930,0.0011598691494250927,0.0,"F(a, h) pooled"
95,0.01,0.02,51,0.014161507785254523,0.0,"F(a, h) pooled"
95,0.02,0.05,27,0.03190091235094797,0.0,"F(a, h) pooled"
